eScriptorium project name	eScriptorium document name	eScriptorium transcription layer	which regions to include	URI	language code	BASED LINK (WORLDCAT)	DOWNLOAD LINK	SUBMITTED BY	KITAB PIPELINE / eSCRIPTORIUM	NOTES	ISSUES	CHANGE URI TO	NUMBER OF VOLUME	PAGE NUMBER OF FIRST IMAGE	BOOK RELATIONS	CORPUS/BARZAKH	AUTHOR_TRANSCRIPTION	TITLE_TRANSCRIPTION	Segmentation_model	AUTHOR_DEATH_YEAR
FASDH25_evaluation	Sharp Coders 	kraken:FASDH25_transcription	MainZone		urd	https://search.worldcat.org/title/31273917	https://archive.org/details/yazeedazmanto/page/n31/mode/1up	Sharp Coders 	https://escriptorium.openiti.org/document/7590/images/		UNCORRECTED_OCR						Sadaat Hasan Manto	Yazeed	urdu_segm_fas25b	1955
FASDH25_evaluation	ji han pite hain(JHPH)	kraken:FASDH25_transcription	MainZone		urd	https://search.worldcat.org/title/40710171	https://ia801905.us.archive.org/9/items/ji-han-pite-hain-shaukat-thanvi/Ji-Han-pite-hain_Shaukat-Thanvi.pdf	ji han pite hain(JHPH)	https://escriptorium.openiti.org/document/7593/images/		UNCORRECTED_OCR						Shaukat Thanvi	Ji Han Pite Hain	urdu_segm_fas25b	1963
FASDH25_evaluation	Mirat ul Uroos 	kraken:FASDH25_transcription	MainZone		urd	NOT_FOUND	https://ia800502.us.archive.org/31/items/MiratUlUroosByDeputyNazeerAhmad/Mirat%20Ul%20Uroos%20By%20Deputy%20Nazeer%20Ahmad.pdf	THE CREATORS 	https://escriptorium.openiti.org/document/7600/images/?select=1733832		UNCORRECTED_OCR						Deputy Nazeer Ahmed	Mirat-ul-Uroos	urdu_segm_fas25a	1912
FASDH25_evaluation	Man2	kraken:FASDH25_transcription        	MainZone		urd	NOT_FOUND	https://drive.google.com/file/d/1JjKn6ZDJwaYPuoJIBlvBVp7P-7qd1hxr/view?usp=sharing       https://drive.google.com/file/d/1zSN_l0vrUIE8C_43DbA6Ior6pB9lKjr_/view?usp=drivesdk 	Man2	https://escriptorium.openiti.org/document/7596/images/?select=1733368		UNCORRECTED_OCR						Sadaat Hasan Manto	Katari, Shikari Auratein	urdu_segm_fas25b	1955
FASDH25_evaluation	Bachelor's	kraken:FASDH25_transcription        	MainZone		urd	NOT_FOUND		Bachelor's	https://escriptorium.openiti.org/document/7592/images/?select=1732262		UNCORRECTED_OCR						Deputy Nazeer Ahmed	Tauba Tun Nasooh	urdu_segm_fas25b	1912
FASDH25_evaluation	Ctrl + S	kraken: FASDH25_transcrption	MainZone		urd	NOT_FOUND	 https://drive.google.com/uc?export=download&id=1s5JD2uj6esOgmCeA3vz78Qnh_wffA5FE	Ctrl + S	https://escriptorium.openiti.org/document/7604/images/		UNCORRECTED_OCR						Sadaat Hasan Manto	Manto Kay Mazameen	urdu_segm_fas25b	1955
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
